                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.5032,                 1.3676,                 1.6936,                0.91607,                0.36777,                0.77527,                0.28127,                 1.5735,                 1.3623,                 1.8836,              0.0004387,              0.0004387,              0.0004387
                    107,                 1.5189,                 1.3594,                 1.6769,                0.81025,                0.40276,                0.47158,                0.24581,                 1.5541,                 1.3285,                 1.8711,             0.00042927,             0.00042927,             0.00042927
                    108,                 1.5096,                 1.3587,                 1.6799,                0.81903,                0.34208,                0.47106,                0.26382,                 1.5805,                 1.3581,                 1.8809,             0.00041984,             0.00041984,             0.00041984
                    109,                 1.5026,                 1.3766,                  1.666,                0.86286,                0.40298,                0.46198,                0.25512,                 1.5824,                 1.3514,                   1.89,             0.00041041,             0.00041041,             0.00041041
                    110,                 1.5188,                 1.3487,                 1.7033,                0.91421,                 0.3724,                0.47269,                0.25945,                 1.5652,                 1.3751,                 1.8592,             0.00040098,             0.00040098,             0.00040098
                    111,                 1.4449,                 1.2633,                 1.6376,                 0.9011,                0.38498,                0.46655,                0.26056,                 1.5418,                 1.3195,                 1.8615,             0.00039155,             0.00039155,             0.00039155
                    112,                 1.4756,                 1.3195,                 1.6719,                0.87727,                0.33692,                0.46449,                0.25534,                 1.5722,                 1.3365,                 1.8948,             0.00038211,             0.00038211,             0.00038211
                    113,                 1.4589,                 1.2454,                 1.6315,                0.95592,                0.33418,                0.45235,                0.24967,                 1.5266,                  1.352,                 1.8718,             0.00037268,             0.00037268,             0.00037268
                    114,                 1.5175,                  1.369,                 1.6784,                0.87327,                0.36248,                0.44556,                0.24723,                  1.523,                 1.2916,                 1.8587,             0.00036325,             0.00036325,             0.00036325
                    115,                 1.4087,                 1.3014,                 1.6323,                0.81764,                0.41062,                0.48076,                0.26303,                 1.5418,                 1.2732,                 1.8624,             0.00035382,             0.00035382,             0.00035382
                    116,                 1.4405,                 1.2749,                 1.6287,                0.80315,                0.40079,                0.52458,                0.28406,                 1.5176,                 1.3114,                 1.8491,             0.00034439,             0.00034439,             0.00034439
                    117,                 1.4191,                  1.235,                 1.6029,                 0.8108,                0.44412,                0.55706,                0.28391,                 1.5558,                 1.2641,                  1.903,             0.00033496,             0.00033496,             0.00033496
                    118,                 1.4766,                 1.2774,                 1.6624,                0.78363,                0.41062,                0.46933,                0.24074,                  1.559,                 1.3446,                 1.9034,             0.00032553,             0.00032553,             0.00032553
                    119,                 1.4548,                 1.2705,                 1.6312,                0.80294,                0.37186,                0.49958,                0.27342,                 1.5449,                 1.3132,                 1.8744,             0.00031609,             0.00031609,             0.00031609
                    120,                 1.4288,                 1.2436,                 1.6303,                0.83748,                0.40103,                0.49959,                0.27169,                 1.5608,                 1.3346,                 1.8927,             0.00030666,             0.00030666,             0.00030666
                    121,                 1.4246,                 1.2358,                 1.6229,                0.85437,                0.35526,                0.50815,                0.28115,                 1.5139,                 1.2632,                 1.8521,             0.00029723,             0.00029723,             0.00029723
                    122,                 1.4078,                 1.2314,                 1.5953,                0.81897,                0.41945,                0.50007,                0.26184,                 1.5452,                 1.3401,                 1.8552,              0.0002878,              0.0002878,              0.0002878
                    123,                  1.438,                 1.2955,                 1.6838,                0.52777,                0.81519,                0.78608,                0.36922,                 1.4979,                 1.2483,                 1.8424,             0.00027837,             0.00027837,             0.00027837
                    124,                 1.4107,                 1.2309,                 1.6374,                0.88057,                0.44098,                0.51763,                0.27147,                 1.5106,                 1.2218,                  1.855,             0.00026894,             0.00026894,             0.00026894
                    125,                 1.4435,                 1.2699,                 1.6442,                  0.767,                0.42634,                0.54601,                0.27386,                 1.5195,                 1.2541,                 1.8359,             0.00025951,             0.00025951,             0.00025951
                    126,                 1.4075,                 1.2153,                 1.6213,                0.89931,                0.43783,                0.48643,                0.25762,                  1.492,                  1.203,                 1.8361,             0.00025007,             0.00025007,             0.00025007
                    127,                 1.3911,                 1.2185,                 1.5993,                0.91914,                0.36995,                0.47582,                0.26069,                 1.5094,                 1.2709,                 1.8458,             0.00024064,             0.00024064,             0.00024064
                    128,                 1.3873,                 1.2137,                 1.6058,                0.81338,                0.45513,                0.47876,                0.25846,                  1.507,                 1.2499,                 1.8496,             0.00023121,             0.00023121,             0.00023121
                    129,                 1.3913,                  1.224,                 1.6047,                0.83589,                 0.4339,                0.47537,                0.26468,                 1.5049,                 1.2647,                 1.8628,             0.00022178,             0.00022178,             0.00022178
                    130,                 1.4004,                  1.204,                 1.6091,                0.86125,                0.40989,                0.47318,                 0.2668,                 1.5081,                 1.2692,                 1.8365,             0.00021235,             0.00021235,             0.00021235
                    131,                 1.4041,                 1.2163,                 1.5956,                0.90204,                0.39961,                0.61143,                0.28469,                 1.4842,                 1.2595,                 1.8376,             0.00020292,             0.00020292,             0.00020292
                    132,                 1.3673,                 1.2088,                 1.5876,                0.77665,                 0.4386,                0.47427,                0.27564,                 1.4986,                 1.2383,                 1.8562,             0.00019349,             0.00019349,             0.00019349
                    133,                 1.3789,                 1.1899,                 1.5868,                0.85646,                0.42134,                0.48475,                0.26117,                 1.5199,                 1.2232,                 1.8425,             0.00018406,             0.00018406,             0.00018406
                    134,                 1.3117,                 1.0978,                 1.5193,                 0.9223,                0.36811,                0.62059,                0.30152,                 1.5142,                 1.2731,                 1.8435,             0.00017462,             0.00017462,             0.00017462
                    135,                 1.3615,                 1.2084,                 1.5872,                0.89995,                 0.3711,                0.47872,                0.27678,                 1.5142,                 1.1958,                 1.8338,             0.00016519,             0.00016519,             0.00016519
                    136,                 1.3876,                 1.1936,                 1.5824,                 0.8889,                0.38026,                0.47615,                0.26923,                 1.4872,                 1.2078,                 1.8242,             0.00015576,             0.00015576,             0.00015576
                    137,                 1.3383,                 1.1382,                 1.5744,                0.79578,                 0.4232,                0.46113,                0.26794,                 1.4978,                 1.2041,                 1.8291,             0.00014633,             0.00014633,             0.00014633
                    138,                 1.3648,                  1.163,                 1.5802,                0.90505,                 0.3743,                0.56609,                0.27841,                 1.4868,                 1.2278,                 1.8101,              0.0001369,              0.0001369,              0.0001369
                    139,                 1.3516,                 1.1683,                   1.59,                0.90424,                0.38144,                0.47943,                0.27891,                 1.4889,                 1.2068,                 1.8091,             0.00012747,             0.00012747,             0.00012747
                    140,                 1.3458,                 1.1627,                  1.564,                0.90564,                0.36925,                 0.4822,                0.28373,                 1.4936,                 1.2094,                 1.8193,             0.00011804,             0.00011804,             0.00011804
                    141,                 1.2255,                0.96821,                 1.5632,                0.90508,                0.41019,                0.49484,                0.28823,                 1.4935,                 1.2233,                 1.8299,              0.0001086,              0.0001086,              0.0001086
                    142,                 1.1927,                0.92808,                 1.5338,                 0.8606,                0.42005,                0.51382,                0.30257,                  1.497,                 1.2092,                 1.8366,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                 1.1826,                0.93028,                  1.542,                0.89069,                0.44884,                0.51826,                0.30059,                  1.487,                 1.2117,                  1.831,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                 1.1622,                0.92493,                 1.5416,                 0.9061,                0.44187,                0.52522,                0.29522,                 1.4921,                 1.2065,                 1.8305,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                   1.19,                0.91352,                 1.5326,                0.90189,                 0.4438,                0.53207,                0.29512,                 1.5032,                  1.201,                 1.8441,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                 1.1847,                0.89353,                 1.5359,                0.88266,                0.44098,                0.52605,                0.29665,                 1.5135,                 1.2127,                 1.8497,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    147,                 1.1444,                0.91636,                 1.5059,                0.84399,                0.45356,                 0.5639,                0.31601,                 1.4803,                  1.187,                 1.8213,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    148,                 1.1728,                0.90426,                 1.5273,                0.83746,                0.46222,                0.59261,                0.31855,                 1.4801,                 1.1943,                 1.8251,             4.2584e-05,             4.2584e-05,             4.2584e-05
